,dong,per price
신설동,1123010100,13925955
용두동,1123010200,17214011
제기동,1123010300,16383352
전농동,1123010400,25404627
답십리동,1123010500,18484465
장안동,1123010600,13325277
청량리동,1123010700,21882325
회기동,1123010800,17547647
휘경동,1123010900,17430543
이문동,1123011000,17821907
