,dong,per price
명일동,1174010100,19488352
고덕동,1174010200,28214982
상일동,1174010300,27069400
길동,1174010500,15531135
둔촌동,1174010600,24863651
암사동,1174010700,18795734
성내동,1174010800,17920805
천호동,1174010900,16110412
강일동,1174011000,16606885
