,dong,per price
신도림동,1153010100,21900261
구로동,1153010200,13975173
가리봉동,1153010300,7621438
고척동,1153010600,14160897
개봉동,1153010700,12738571
오류동,1153010800,12349850
궁동,1153010900,12806353
온수동,1153011000,16272805
천왕동,1153011100,19000942
항동,1153011200,13677064
