,dong,per price
상왕십리동,1120010100,25045454
하왕십리동,1120010200,23717673
홍익동,1120010300,19709289
도선동,1120010400,18842691
마장동,1120010500,18393890
사근동,1120010600,17853010
행당동,1120010700,26846107
응봉동,1120010800,26474953
금호동1가,1120010900,21594946
금호동2가,1120011000,39304798
금호동3가,1120011100,30543705
금호동4가,1120011200,31285631
옥수동,1120011300,33060178
성수동1가,1120011400,29655110
성수동2가,1120011500,28363811
송정동,1120011800,17543188
용답동,1120012200,10864510
