,dong,per price
노량진동,1159010100,22617861
상도동,1159010200,22262006
상도1동,1159010300,16702899
본동,1159010400,27489319
흑석동,1159010500,32971399
동작동,1159010600,28968750
사당동,1159010700,24223642
대방동,1159010800,22040356
신대방동,1159010900,19268749
