,dong,per price
방배동,1165010100,30087513
양재동,1165010200,21947989
우면동,1165010300,27708563
원지동,1165010400,0
잠원동,1165010600,53868750
반포동,1165010700,44625821
서초동,1165010800,25036717
내곡동,1165010900,23612712
염곡동,1165011000,0
신원동,1165011100,40206335
